team1,team2,outcome,sd
ARG,BEL,-2.368,2.1551278384355763
ARG,PAN,0.016,1.468245211127896
ARG,TUN,-0.188,1.9299367865295485
ARG,ENG,-1.416,1.8118896213621845
ARG,POL,-1.206,1.7180116414040971
ARG,SEN,-0.148,1.6229898336095638
ARG,COL,-0.33,1.3568714014231416
ARG,JPN,-0.462,1.6311210868602
ISL,CRO,-0.942,1.9252625794940286
ISL,NGA,-0.472,1.5953733105452155
ISL,BRA,-1.544,1.720483652930187
ISL,SUI,-1.29,1.588049117628293
ISL,CRC,0.054,1.408220153243093
ISL,SRB,-0.208,1.7631607981122992
ISL,GER,-3.026,2.652795506630694
ISL,SWE,-0.336,2.0176976978725034
ISL,MEX,-0.066,1.6666265328501162
ISL,KOR,0.28,1.8356470248934025
ISL,BEL,-2.56,2.5687350972803715
ISL,PAN,0.336,1.8727263548100135
ISL,TUN,-0.016,1.7469241540490532
ISL,ENG,-1.422,1.723924592318353
ISL,POL,-0.98,1.9787875075409183
ISL,SEN,0.028,1.7649974504230876
ISL,COL,0.094,1.4930385125642271
ISL,JPN,-0.074,1.701917741843007
CRO,NGA,-0.274,1.4989743159907711
CRO,BRA,-1.604,1.5515102319997764
CRO,SUI,-1.078,1.1453890168846566
CRO,CRC,0.668,1.321278169046927
CRO,SRB,0.016,1.3144367615066157
CRO,GER,-1.718,1.2940154558582364
CRO,SWE,0.522,1.737099881987216
CRO,MEX,0.368,1.5377177894529281
CRO,KOR,0.79,1.4148851543499918
CRO,BEL,-1.564,1.4373252937313807
CRO,PAN,0.882,1.6099925465665983
CRO,TUN,0.656,1.8313011767593008
CRO,ENG,-1.464,1.3193574193523148
CRO,POL,-0.824,1.4467287237073851
CRO,SEN,0.532,1.4258246736538123
CRO,COL,0.572,1.5089121909508185
CRO,JPN,0.552,1.6441703074803413
NGA,BRA,-1.438,1.6291580647684252
NGA,SUI,-1.042,1.3327550412585203
NGA,CRC,0.986,1.3273296500869707
NGA,SRB,-0.478,1.6868657326533134
NGA,GER,-1.568,1.5117460104131248
NGA,SWE,0.812,2.2037822033948817
NGA,MEX,0.558,1.4948698940041572
NGA,KOR,0.954,1.3114434795293315
NGA,BEL,-1.384,1.5775119650893301
NGA,PAN,0.904,1.485524823084421
NGA,TUN,0.396,1.8674003320123942
NGA,ENG,-1.396,1.3925458699805906
NGA,POL,-0.714,1.4953942623937007
NGA,SEN,0.388,1.682098689138066
NGA,COL,0.758,1.3997985569359614
NGA,JPN,0.414,1.54874271588279
BRA,SUI,0.508,1.4946357415771911
BRA,CRC,1.194,1.5337418296440897
BRA,SRB,0.92,1.7417232845661792
BRA,GER,0.03,1.700911520332554
BRA,SWE,2.072,2.064658809585739
BRA,MEX,1.364,1.7650790350576373
BRA,KOR,1.648,1.7922321278227327
BRA,BEL,0.34,1.8645106596638166
BRA,PAN,1.442,1.6293053734644096
BRA,TUN,1.104,1.6724784004584334
BRA,ENG,0.186,1.3203802482618407
BRA,POL,0.54,1.5337535656030272
BRA,SEN,0.994,1.4078224319849433
BRA,COL,1.22,1.863223014027038
BRA,JPN,1.15,1.4253069844773791
SUI,CRC,1.026,1.4315460174231214
SUI,SRB,0.404,1.4130760772159436
SUI,GER,-0.638,1.535889318928939
SUI,SWE,1.718,1.928335033130913
SUI,MEX,1.102,1.5670341413000548
SUI,KOR,1.41,1.5993436153622522
SUI,BEL,-0.394,1.7454982096811213
SUI,PAN,1.3,1.5342750731208534
SUI,TUN,1.13,1.679613050675661
SUI,ENG,-0.334,1.201017901615126
SUI,POL,0.124,1.4562362445702277
SUI,SEN,0.86,1.366894289987342
SUI,COL,0.826,1.554259952517596
SUI,JPN,1.064,1.5773091009691156
CRC,SRB,-0.584,1.554009008982895
CRC,GER,-1.242,1.823029346993624
CRC,SWE,-0.594,2.2264689532980246
CRC,MEX,-0.428,1.7529449506473385
CRC,KOR,0.226,1.46932773743641
CRC,BEL,-1.07,1.9811865131784032
CRC,PAN,0.432,1.1319787983880263
CRC,TUN,-0.264,1.4234830522349045
CRC,ENG,-0.866,1.4642554421957938
CRC,POL,-0.722,1.5115277040133934
CRC,SEN,-0.178,1.1774192116659215
CRC,COL,0.042,1.3536011229309763
CRC,JPN,-0.144,1.1812129359264567
SRB,GER,-0.926,1.4630529723834338
SRB,SWE,2.042,2.3178084476504957
SRB,MEX,1.046,1.676867317351018
SRB,KOR,1.482,1.8004654953650183
SRB,BEL,-0.82,1.6910351859142376
SRB,PAN,1.506,1.9261266832687822
SRB,TUN,1.118,1.6923581181298477
SRB,ENG,-0.604,1.2374101987619142
SRB,POL,-0.274,1.3427300547764618
SRB,SEN,0.558,1.2596174022297406
SRB,COL,0.898,1.8792541073521698
SRB,JPN,1.074,1.507489303444638
GER,SWE,2.168,2.162354272546476
GER,MEX,2.074,2.2909657352304507
GER,KOR,2.212,2.119211173998476
GER,BEL,0.266,1.9501907599001695
GER,PAN,1.61,2.0154155898970316
GER,TUN,1.342,2.101674570431874
GER,ENG,-0.06,1.4520330574749323
GER,POL,0.332,1.729096874093525
GER,SEN,0.69,1.7960790628477354
GER,COL,1.364,2.2854986326839053
GER,JPN,1.276,1.8750530659157356
SWE,MEX,0.474,2.1737810377312616
SWE,KOR,0.994,2.254321183860011
SWE,BEL,-2.278,2.358965027294809
SWE,PAN,1.238,2.1793017230296496
SWE,TUN,0.54,2.0814418079783064
SWE,ENG,-1.23,1.7207847047204947
SWE,POL,-0.642,1.7623382195254123
SWE,SEN,0.16,1.8704010265181101
SWE,COL,0.894,2.2818334733279726
SWE,JPN,0.086,1.7895820741167474
MEX,KOR,0.578,1.591199547511248
MEX,BEL,-2.31,2.219436865513412
MEX,PAN,0.54,1.3654303350958628
MEX,TUN,-0.408,1.6844987384975982
